name,field,subcategory,mbti
Andrew Dice Clay,Entertainment,Komedian,ESTP
Andrew Divoff,Entertainment,Aktor/Aktres,ISFJ
Andrew Dominik,Entertainment,Sutradara Film,ENTP
Andrew Flannagan,Entertainment,Aktor/Aktres,ESTP
Andrew Francis,Entertainment,Pengisi Suara,ESFJ
Andrew Garfield,Entertainment,Aktor/Aktres,INFP
Andrew Keenan-Bolger,Entertainment,Aktor/Aktres,ISFJ
Andrew Lincoln,Entertainment,Aktor/Aktres,ISFJ
Andrew McCarthy,Entertainment,Aktor/Aktres,INFP
Andrew Neil,Entertainment,Pembawa Acara,ESTJ
Andrew Rannells,Entertainment,Aktor/Aktres,ESFP
Andrew Santino,Entertainment,Komedian,ENTP
Andrew Schulz,Entertainment,Komedian,ENTP
Andrew Scott,Entertainment,Aktor/Aktres,INFP
Andrew Stanton,Entertainment,Sutradara Film,INTP
Andrey Bednyakov,Entertainment,Pembawa Acara,ENTP
Andrey Zvyagintsev,Entertainment,Sutradara Film,INFJ
Andria Tayeh,Entertainment,Aktor/Aktres,INFJ
Andrija Milošević,Entertainment,Aktor/Aktres,ESFP
Andrzej Wajda,Entertainment,Sutradara Film,INFP
Andrzej Zulawski,Entertainment,Sutradara Film,INTJ
Andy Buckley,Entertainment,Aktor/Aktres,INTP
Andy Cohen,Entertainment,Pembawa Acara,ESFP
Andy Day,Entertainment,Pembawa Acara,ESFP
Andy Dick,Entertainment,Komedian,ENFP
Andy García,Entertainment,Aktor/Aktres,INFJ
Andy Kaufman,Entertainment,Komedian,ENFP
Andy Lau,Entertainment,Aktor/Aktres,ISFJ
Andy Lee,Entertainment,Komedian,ESTP
Andy Milonakis,Entertainment,Komedian,ENFP
Andy Richter,Entertainment,Komedian,ENTP
Andy Samberg,Entertainment,Aktor/Aktres,ENFP
Andy Serkis,Entertainment,Aktor/Aktres,INTP
Andzia,Entertainment,Pengisi Suara,ISTP
Aneesh Chaganty,Entertainment,Sutradara Film,ENTP
Ang Lee,Entertainment,Sutradara Film,INFJ
Angel Lelga,Entertainment,Aktor/Aktres,ESFJ
Ángel Llàcer,Entertainment,Pembawa Acara,ENTP
Angel Locsin,Entertainment,Aktor/Aktres,ESFJ
Angel Moreno,Entertainment,Model,ENTP
Angela Bassett,Entertainment,Aktor/Aktres,ENFJ
Angela Bowie,Entertainment,Model,ESTJ
Angela Kinsey,Entertainment,Aktor/Aktres,ESFJ
Angela Lansbury,Entertainment,Industri Film,ESTJ
